activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Fabrication d'équipements d'aide à la navigation;Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie";Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Cokéfaction;Cokéfaction;Cokéfaction;Cokéfaction et raffinage;Industrie manufacturière
Réparation de produits électroniques grand public;Réparation de produits électroniques grand public;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Débits de boissons;Débits de boissons;Débits de boissons;Restauration;Hébergement et restauration
Commerce de détail de matériels de télécommunication en magasin spécialisé;Commerce de détail de matériels de télécommunication en magasin spécialisé;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de matériel agricole;Commerce de gros de matériel agricole;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Pêche en eau douce;Pêche en eau douce;Pêche;Pêche et aquaculture;Agriculture, sylviculture et pêche
Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication de machines-outils pour le travail des métaux;Fabrication de machines de formage des métaux;Fabrication de machines de formage des métaux et de machines-outils;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Services des traiteurs;Services des traiteurs;Traiteurs et autres services de restauration;Restauration;Hébergement et restauration
Activité des géomètres;Activités d'ingénierie;Activités d'architecture et d'ingénierie;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Construction aéronautique et spatiale;Construction aéronautique et spatiale;Construction aéronautique et spatiale;Fabrication d'autres matériels de transport;Industrie manufacturière
Construction de bateaux de plaisance;Construction de bateaux de plaisance;Construction navale;Fabrication d'autres matériels de transport;Industrie manufacturière
Élaboration et transformation de matières nucléaires;Élaboration et transformation de matières nucléaires;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Activités de soutien à l'enseignement;Activités de soutien à l'enseignement;Activités de soutien à l'enseignement;Enseignement;Enseignement
Supérettes;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Profilage à froid par formage ou pliage;Profilage à froid par formage ou pliage;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication;Commerce de gros de composants et d'équipements électroniques et de télécommunication;Commerce de gros d'équipements de l'information et de la communication;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Aquaculture en eau douce;Aquaculture en eau douce;Aquaculture;Pêche et aquaculture;Agriculture, sylviculture et pêche
Travaux de montage de structures métalliques;Autres travaux de construction spécialisés n.c.a.;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Fabrication de coutellerie;Fabrication de coutellerie;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Sylviculture et autres activités forestières;Sylviculture et autres activités forestières;Sylviculture et autres activités forestières;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Commerce de détail alimentaire sur éventaires et marchés;Commerce de détail alimentaire sur éventaires et marchés;Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de produits chimiques;Commerce de gros de produits chimiques;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Traitement et élimination des déchets dangereux;Traitement et élimination des déchets dangereux;Traitement et élimination des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Fabrication de vins effervescents;Production de vin (de raisin);Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres outillages;Fabrication d'outillage;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Enrichissement et retraitement de matières nucléaires;Fabrication d'autres produits chimiques inorganiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Accueil de jeunes enfants;Action sociale sans hébergement pour jeunes enfants;Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Édition de logiciels outils de développement et de langages;Édition d'autres logiciels;Édition de logiciels;Édition;Information et communication
Édition de logiciels système et de réseau;Édition d'autres logiciels;Édition de logiciels;Édition;Information et communication
Enseignement secondaire général;Enseignement secondaire général;Enseignement secondaire;Enseignement;Enseignement
Fabrication de vêtements en cuir;Fabrication de vêtements en cuir;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Autres enseignements;Enseignements divers;Autres activités d'enseignement;Enseignement;Enseignement
Fabrication de cartes électroniques assemblées;Fabrication de cartes électroniques assemblées;Fabrication de composants et cartes électroniques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Conseil en systèmes et logiciels informatiques;Conseil informatique;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Fabrication d'autres produits chimiques organiques de base;Fabrication d'autres produits chimiques organiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Vinification;Production de vin (de raisin);Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Fabrication d'outillage portatif à moteur incorporé;Fabrication d'outillage portatif à moteur incorporé;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication d'éléments en plâtre pour la construction;Fabrication d'éléments en plâtre pour la construction;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Laboratoires d'analyses médicales;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Grands magasins;Autre commerce de détail en magasin non spécialisé;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Élevage de chevaux et d'autres équidés;Élevage de chevaux et d'autres équidés;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Ambulances;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Services d'aménagement paysager;Services d'aménagement paysager;Services d'aménagement paysager;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Commerce de gros (commerce interentreprises) de fruits et légumes;Commerce de gros de fruits et légumes;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil;Commerce de gros de machines pour l'extraction, la construction et le génie civil;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres articles de robinetterie;Fabrication d'autres articles de robinetterie;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication de vêtements de dessous;Fabrication de vêtements de dessous;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Commerce de gros (commerce interentreprises) de matériel électrique;Commerce de gros d'autres machines et équipements;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location et location-bail d'autres biens personnels et domestiques;Location et location-bail d'autres biens personnels et domestiques;Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Messagerie, fret express;Autres services auxiliaires des transports;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Autres commerces de détail spécialisés divers;Autre commerce de détail de biens neufs en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres activités informatiques;Autres activités informatiques;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Construction de voies ferrées de surface et souterraines;Construction de voies ferrées de surface et souterraines;Construction de routes et de voies ferrées;Génie civil;Construction
Transformation et conservation de fruits;Autre transformation et conservation de fruits et légumes;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Fabrication de jeux et jouets;Fabrication de jeux et jouets;Fabrication de jeux et jouets;Autres industries manufacturières;Industrie manufacturière
Agences immobilières;Agences immobilières;Activités immobilières pour compte de tiers;Activités immobilières;Activités immobilières
Hébergement social pour enfants en difficultés;Autres activités d'hébergement social;Autres activités d'hébergement social;Hébergement médico-social et social;Santé humaine et action sociale
Activités des sociétés holding;Activités des sociétés holding;Activités des sociétés holding;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Magasins multi-commerces;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'articles de papeterie;Fabrication d'articles de papeterie;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Enseignement pré-primaire;Enseignement pré-primaire;Enseignement pré-primaire;Enseignement;Enseignement
Vente à domicile;Autres commerces de détail hors magasin, éventaires ou marchés;Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Édition de chaînes généralistes;Programmation de télévision et télédiffusion;Programmation de télévision et télédiffusion;Programmation et diffusion;Information et communication
Fabrication d'autres équipements automobiles;Fabrication d'autres équipements automobiles;Fabrication d'équipements automobiles;Industrie automobile;Industrie manufacturière
Élevage d'autres animaux;Élevage d'autres animaux;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Entretien et réparation d'autres véhicules automobiles;Entretien et réparation de véhicules automobiles;Entretien et réparation de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce d'alimentation générale;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Meunerie;Travail des grains;"Travail des grains; fabrication de produits amylacés";Industries alimentaires;Industrie manufacturière
Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement;Commerce de gros de machines pour l'industrie textile et l'habillement;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) d'animaux vivants;Commerce de gros d'animaux vivants;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de détail de journaux et papeterie en magasin spécialisé;Commerce de détail de journaux et papeterie en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités d'architecture;Activités d'architecture;Activités d'architecture et d'ingénierie;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Transports fluviaux de passagers;Transports fluviaux de passagers;Transports fluviaux de passagers;Transports par eau;Transports et entreposage
Fabrication d'autres produits chimiques inorganiques de base n.c.a.;Fabrication d'autres produits chimiques inorganiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Commerce de gros (commerce interentreprises) de produits surgelés;Commerce de gros non spécialisé de denrées, boissons et tabac;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Culture de la vigne;Culture de la vigne;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Extraction de minerais d'uranium et de thorium;Extraction de minerais d'uranium et de thorium;Extraction de minerais de métaux non ferreux;Extraction de minerais métalliques;Industries extractives
Fabrication de placage et de panneaux de bois;Fabrication de placage et de panneaux de bois;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Soins de beauté;Coiffure et soins de beauté;Autres services personnels;Autres services personnels;Autres activités de services
Horlogerie;Horlogerie;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie";Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Activités de soutien à la production animale;Activités de soutien à la production animale;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de ciment;Fabrication de ciment;Fabrication de ciment, chaux et plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de machines pour l'extraction ou la construction;Fabrication de machines pour l'extraction ou la construction;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Administration publique (tutelle) des activités économiques;Administration publique (tutelle) des activités économiques;Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication d'ordinateurs et d'équipements périphériques;Fabrication d'ordinateurs et d'équipements périphériques;Fabrication d'ordinateurs et d'équipements périphériques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Promotion immobilière de logements;Promotion immobilière;Promotion immobilière;Construction de bâtiments;Construction
Gestion de fonds;Gestion de fonds;Gestion de fonds;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Commerce de gros (commerce interentreprises) de machines-outils;Commerce de gros de machines-outils;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Restauration traditionnelle;Restaurants et services de restauration mobile;Restaurants et services de restauration mobile;Restauration;Hébergement et restauration
Production de films pour le cinéma;Production de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Réparation d'autres biens personnels et domestiques;Réparation d'autres biens personnels et domestiques;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Autres intermédiaires du commerce en produits divers;Intermédiaires du commerce en produits divers;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Fabrication d'aliments homogénéisés et diététiques;Fabrication d'aliments homogénéisés et diététiques;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Fonderie de métaux légers;Fonderie de métaux légers;Fonderie;Métallurgie;Industrie manufacturière
Activités des agents et courtiers d'assurances;Activités des agents et courtiers d'assurances;Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Réassurance;Réassurance;Réassurance;Assurance;Activités financières et d'assurance
Fabrication de matériels optique et photographique;Fabrication de matériels optique et photographique;Fabrication de matériels optique et photographique;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Fabrication de colles;Fabrication de colles;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Fabrication de cartonnages;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Fabrication de carrosseries et remorques;Fabrication de carrosseries et remorques;Fabrication de carrosseries et remorques;Industrie automobile;Industrie manufacturière
Activités photographiques;Activités photographiques;Activités photographiques;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie;Commerce de gros de sucre, chocolat et confiserie;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de machines pour l'industrie agro-alimentaire;Fabrication de machines pour l'industrie agro-alimentaire;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités d'enquête;Activités d'enquête;Activités d'enquête;Enquêtes et sécurité;Activités de services administratifs et de soutien
Production de métaux précieux;Production de métaux précieux;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Fabrication de caoutchouc synthétique;Fabrication de caoutchouc synthétique;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Édition de logiciels applicatifs;Édition d'autres logiciels;Édition de logiciels;Édition;Information et communication
Fabrication de condiments et assaisonnements;Fabrication de condiments et assaisonnements;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Autres activités de poste et de courrier;Autres activités de poste et de courrier;Autres activités de poste et de courrier;Activités de poste et de courrier;Transports et entreposage
Traduction et interprétation;Traduction et interprétation;Traduction et interprétation;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Activités des infirmiers et des sages-femmes;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Fabrication de produits explosifs;Fabrication de produits explosifs;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Location de logements;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Activités immobilières;Activités immobilières
Enseignement culturel;Enseignement culturel;Autres activités d'enseignement;Enseignement;Enseignement
Commerce de détail de fruits et légumes en magasin spécialisé;Commerce de détail de fruits et légumes en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Laminage à froid de feuillards;Laminage à froid de feuillards;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Commerce de gros (commerce interentreprises) d'appareils électroménagers;Commerce de gros d'appareils électroménagers;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Travaux de revêtement des sols et des murs;Travaux de revêtement des sols et des murs;Travaux de finition;Travaux de construction spécialisés;Construction
Imprégnation du bois;Sciage et rabotage du bois;Sciage et rabotage du bois;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;Commerce de gros d'autres produits intermédiaires;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Services de soutien à l'exploitation forestière;Services de soutien à l'exploitation forestière;Services de soutien à l'exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Commerce de gros (commerce interentreprises) non spécialisé;Commerce de gros non spécialisé;Commerce de gros non spécialisé;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau;Commerce de gros d'autres machines et équipements de bureau;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de détail de jeux et jouets en magasin spécialisé;Commerce de détail de jeux et jouets en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Culture de la canne à sucre;Culture de la canne à sucre;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de détail de matériels audio et vidéo en magasin spécialisé;Commerce de détail de matériels audio/vidéo en magasin spécialisé;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de meubles de bureau et de magasin;Fabrication de meubles de bureau et de magasin;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Location de vidéocassettes et disques vidéo;Location de vidéocassettes et disques vidéo;Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Fabrication d'emballages métalliques légers;Fabrication d'emballages métalliques légers;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Installation de machines et équipements mécaniques;Installation de machines et d'équipements industriels;Installation de machines et d'équipements industriels;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication de colorants et de pigments;Fabrication de colorants et de pigments;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Fabrication d'autres produits minéraux non métalliques n.c.a.;Fabrication d'autres produits minéraux non métalliques n.c.a.;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Raffinage du pétrole;Raffinage du pétrole;Raffinage du pétrole;Cokéfaction et raffinage;Industrie manufacturière
Fabrication de plats préparés;Fabrication de plats préparés;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Autres activités du travail des grains;Travail des grains;"Travail des grains; fabrication de produits amylacés";Industries alimentaires;Industrie manufacturière
Distribution de films cinématographiques;Distribution de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Production de sel;Production de sel;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Hébergement social pour adultes et familles en difficultés et autre hébergement social;Autres activités d'hébergement social;Autres activités d'hébergement social;Hébergement médico-social et social;Santé humaine et action sociale
Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de matelas;Fabrication de matelas;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Fabrication d'autres produits laitiers;Exploitation de laiteries et fabrication de fromage;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Culture du tabac;Culture du tabac;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Non renseigné;Non renseigné;Non renseigné;Non renseigné;Non renseigné
Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté;Commerce de gros de parfumerie et de produits de beauté;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;Activités de location et location-bail;Activités de services administratifs et de soutien
Commerce de gros d'équipements automobiles;Commerce de gros d'équipements automobiles;Commerce d'équipements automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de radiateurs et de chaudières pour le chauffage central;Fabrication de radiateurs et de chaudières pour le chauffage central;Fabrication de réservoirs, citernes et conteneurs métalliques;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Blanchisserie-teinturerie de gros;Blanchisserie-teinturerie;Autres services personnels;Autres services personnels;Autres activités de services
Travaux de menuiserie bois et PVC;Travaux de menuiserie;Travaux de finition;Travaux de construction spécialisés;Construction
Collecte des déchets dangereux;Collecte des déchets dangereux;Collecte des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Transports routiers réguliers de voyageurs;Autres transports terrestres de voyageurs n.c.a.;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Activités des sièges sociaux;Activités des sièges sociaux;Activités des sièges sociaux;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Activités comptables;Activités comptables;Activités comptables;Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Commerce de détail de la chaussure;Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des marchands de biens immobiliers;Activités des marchands de biens immobiliers;Activités des marchands de biens immobiliers;Activités immobilières;Activités immobilières
Commerce de gros (commerce interentreprises) de cuirs et peaux;Commerce de gros de cuirs et peaux;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de cacao, chocolat et de produits de confiserie;Fabrication de cacao, chocolat et de produits de confiserie;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Élevage de porcins;Élevage de porcins;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Production de combustibles gazeux;Production de combustibles gazeux;Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication de motocycles;Fabrication de motocycles;Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Caisses de retraite;Caisses de retraite;Caisses de retraite;Assurance;Activités financières et d'assurance
Fabrication d'articles textiles, sauf habillement;Fabrication d'articles textiles, sauf habillement;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Location et location-bail de machines de bureau et de matériel informatique;Location et location-bail de machines de bureau et de matériel informatique;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
