activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Commerce de détail d'appareils électroménagers en magasin spécialisé;Commerce de détail d'appareils électroménagers en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de machines pour le travail du caoutchouc ou des plastiques;Fabrication de machines pour le travail du caoutchouc ou des plastiques;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels;Commerce de gros d'équipements de l'information et de la communication;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Supports juridiques de gestion de patrimoine immobilier;Administration de biens immobiliers;Activités immobilières pour compte de tiers;Activités immobilières;Activités immobilières
Hypermarchés;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de bicyclettes et de véhicules pour invalides;Fabrication de bicyclettes et de véhicules pour invalides;Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Production de boissons rafraîchissantes;Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Centres de collecte et banques d'organes;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé;Hébergement médicalisé;Hébergement médicalisé;Hébergement médico-social et social;Santé humaine et action sociale
Fabrication d'autres vêtements et accessoires;Fabrication d'autres vêtements et accessoires;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Fabrication de glaces et sorbets;Fabrication de glaces et sorbets;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Activités combinées de soutien lié aux bâtiments;Activités combinées de soutien lié aux bâtiments;Activités combinées de soutien lié aux bâtiments;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Travaux de menuiserie métallique et serrurerie;Travaux de menuiserie;Travaux de finition;Travaux de construction spécialisés;Construction
Fonderie d'autres métaux non ferreux;Fonderie d'autres métaux non ferreux;Fonderie;Métallurgie;Industrie manufacturière
Activités spécialisées de design;Activités spécialisées de design;Activités spécialisées de design;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Fabrication de matériel de levage et de manutention;Fabrication de matériel de levage et de manutention;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de détail d'articles de sport en magasin spécialisé;Commerce de détail d'articles de sport en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de houille;Extraction de houille;Extraction de houille;Extraction de houille et de lignite;Industries extractives
Autres cultures non permanentes;Autres cultures non permanentes;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien;Commerce de gros de vaisselle, verrerie et produits d'entretien;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
