classeActivite;groupeActivite;divisionActivite;sectionActivite
Édition de répertoires et de fichiers d'adresses;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Fabrication d'équipements aérauliques et frigorifiques industriels;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Régie publicitaire de médias;Publicité;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Autres activités de nettoyage;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Activités liées aux systèmes de sécurité;Activités liées aux systèmes de sécurité;Enquêtes et sécurité;Activités de services administratifs et de soutien
Restaurants et services de restauration mobile;Restaurants et services de restauration mobile;Restauration;Hébergement et restauration
Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Collecte des déchets dangereux;Collecte des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Taille, façonnage et finissage de pierres;Taille, façonnage et finissage de pierres;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Recherche-développement en sciences humaines et sociales;Recherche-développement en sciences humaines et sociales;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Fabrication d'ouvrages en fibre-ciment;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Production de boissons alcooliques distillées;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Élevage de volailles;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres activités de poste et de courrier;Autres activités de poste et de courrier;Activités de poste et de courrier;Transports et entreposage
Organisation de salons professionnels et congrès;Organisation de salons professionnels et congrès;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Autres intermédiations monétaires;Intermédiation monétaire;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Autres travaux d'installation;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Traitement et revêtement des métaux;"Traitement et revêtement des métaux; usinage";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Autres transports terrestres de voyageurs n.c.a.;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Culture de fruits à pépins et à noyau;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres services personnels n.c.a.;Autres services personnels;Autres services personnels;Autres activités de services
Installation de machines et d'équipements industriels;Installation de machines et d'équipements industriels;Réparation et installation de machines et d'équipements;Industrie manufacturière
